PageId,Published,ProjectName,ProjectCountry,NoticeLanguage,ContactName,SubmissionDate,ProcurementType,MajorSector,BidReference,ProjectId,NoticeType,ContactOrganization,ContractSignatureDate,ProcurementGroup
1380,41160,"SV Fiscal Mgmt and Public Sector Perf TA","El Salvador",Spanish,N/A,41160,"Equipment Information Technology","Public Administration, Law, and Justice; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P095314,"Contract Award",Published,N/A,41166
1381,41160,"SV Fiscal Mgmt and Public Sector Perf TA","El Salvador",Spanish,N/A,41160,"Equipment Information Technology","Public Administration, Law, and Justice; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P095314,"Contract Award",Published,N/A,41166
1382,41160,"SV Fiscal Mgmt and Public Sector Perf TA","El Salvador",Spanish,N/A,41160,"Equipment Information Technology","Public Administration, Law, and Justice; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P095314,"Contract Award",Published,N/A,41166
1383,41160,"SV Fiscal Mgmt and Public Sector Perf TA","El Salvador",Spanish,N/A,41160,"Equipment Information Technology","Public Administration, Law, and Justice; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P095314,"Contract Award",Published,N/A,41166
1384,41162,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41162,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1385,41162,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41162,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1386,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1387,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Revised,N/A,40907
1388,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1389,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1390,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1391,41187,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41187,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1392,41199,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41199,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Revised,N/A,40907
1393,41218,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41218,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1394,41256,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41256,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1395,41256,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41256,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1396,41257,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41257,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1397,41279,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41279,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1398,41279,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41279,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1399,41337,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41337,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1400,41389,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41389,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1401,41389,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41389,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1402,41389,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41389,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1403,41414,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41414,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1404,41429,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41429,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1405,41429,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41429,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1406,41443,"VN-TRANS & DISTRIB 2",Vietnam,English,N/A,41443,"Works, Installation","Energy and mining","ICB Award",P084871,"Contract Award",Published,N/A,40907
1407,40825,"DJ-POWER ACCESS AND DIVERSIFICATION",Djibouti,English,N/A,40825,"Equipment, Electrical","Water, sanitation and flood protection; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P086379,"Contract Award",Published,N/A,41108
1408,41232,"DJ-Power Access and Diversification Proj",Djibouti,English,N/A,41232,"Equipment, Electrical","Water, sanitation and flood protection; Energy and mining; Energy and mining","ICB Award",P086379,"Contract Award",Published,N/A,41108
1409,41574,"DJ-Power Access and Diversification Proj",Djibouti,French,N/A,41574,"Equipment, Electrical","Water, sanitation and flood protection; Energy and mining; Energy and mining","Small Contracts Award (DIR,CQS,INDV,SSS)",P086379,"Contract Award",Revised,N/A,41108
1410,41618,"DJ-Power Access and Diversification Proj",Djibouti,English,N/A,41618,"Equipment, Electrical","Water, sanitation and flood protection; Energy and mining; Energy and mining","Small Contracts Award (DIR,CQS,INDV,SSS)",P086379,"Contract Award",Published,N/A,41108
1411,40624,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,40624,"Procurement Technical Assistance","Public Administration, Law, and Justice","ICB Award",P050440,"Contract Award",Revised,N/A,38197
1412,40676,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,40676,"Procurement Technical Assistance","Public Administration, Law, and Justice","ICB Award",P050440,"Contract Award",Published,N/A,38197
1413,40676,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,40676,"Procurement Technical Assistance","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P050440,"Contract Award",Published,N/A,38197
1414,40828,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,40828,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1415,40858,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,40858,"Procurement Technical Assistance","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P050440,"Contract Award",Published,N/A,38197
1416,40963,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,40963,"Procurement Technical Assistance","Public Administration, Law, and Justice","ICB Award",P050440,"Contract Award",Published,N/A,38197
1417,41103,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41103,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1418,41103,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41103,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1419,41123,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41123,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Revised,N/A,39202
1420,41123,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,41123,"Procurement Technical Assistance","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P050440,"Contract Award",Published,N/A,38197
1421,41129,"CN-GEF Povincial Energy Efficiency",China,English,N/A,41129,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P114182,"Contract Award",Published,N/A,41060
1422,41129,"CN-GEF Povincial Energy Efficiency",China,English,N/A,41129,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P114182,"Contract Award",Published,N/A,41060
1423,41149,"UG-Pub Serv Perform Enhance (FY06)",Uganda,English,N/A,41149,"Procurement Technical Assistance","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P050440,"Contract Award",Published,N/A,38197
1424,41173,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41173,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P127156,"Contract Award",Published,N/A,41278
1425,41173,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41173,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P127156,"Contract Award",Published,N/A,41278
1426,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1427,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1428,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1429,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1430,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1431,41291,"SECOND ROAD & SAFETY IMPROVEMENT PROJ.",Ukraine,English,N/A,41291,"Works, Maintenance and Rehabilitation","Public Administration, Law, and Justice; Transportation","ICB Award",P127156,"Contract Award",Published,N/A,41278
1432,41534,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41534,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1433,41534,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41534,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1434,41549,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41549,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1435,41551,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41551,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Published,N/A,39202
1436,41551,"KE-Northern Corridor Trnsprt SIL (FY04)",Kenya,English,N/A,41551,"Equipment Information Technology","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Transportation","ICB Award",P082615,"Contract Award",Revised,N/A,39202
1437,41619,"CN-GEF Provincial Energy Efficiency",China,English,N/A,41619,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P114182,"Contract Award",Published,N/A,41060
1438,41619,"CN-GEF Provincial Energy Efficiency",China,English,N/A,41619,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P114182,"Contract Award",Published,N/A,41060
1439,41619,"CN-GEF Provincial Energy Efficiency",China,English,N/A,41619,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P114182,"Contract Award",Published,N/A,41060
1440,41635,"CN-GEF Provincial Energy Efficiency",China,English,N/A,41635,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P114182,"Contract Award",Published,N/A,41060
1441,41165,"AR La Rioja Public Sect Streng Prog-APL1",Argentina,Spanish,N/A,41165,"Management /Technical Advice","Information and communications; Public Administration, Law, and Justice; Public Administration, Law, and Justice; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P121836,"Contract Award",Published,N/A,41163
1442,41669,"Sarajevo Waste Water (for. Mun. Dev.)","Bosnia and Herzegovina",English,N/A,41669,"Works, Infrastructure","Public Administration, Law, and Justice; Water, sanitation and flood protection","ICB Award",P090675,"Contract Award",Revised,N/A,41654
1443,41179,MN-MONSTAT,Mongolia,English,N/A,41179,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Revised,N/A,40614
1444,41212,MN-MONSTAT,Mongolia,English,N/A,41212,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Revised,N/A,40614
1445,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1446,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1447,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1448,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1449,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1450,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1451,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1452,41213,MN-MONSTAT,Mongolia,English,N/A,41213,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P113160,"Contract Award",Published,N/A,40614
1453,41568,MN-MONSTAT,Mongolia,English,N/A,41568,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P113160,"Contract Award",Revised,N/A,40614
1454,40730,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,40730,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P112719,"Contract Award",Published,N/A,40478
1455,40919,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,40919,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1456,40919,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,40919,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1457,41085,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41085,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1458,41085,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41085,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1459,41340,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41340,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Revised,N/A,40478
1460,41340,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41340,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1461,41445,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41445,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1462,41445,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41445,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1463,41565,"MUNICIPAL INFRASTRUCTURE DEVELOPMENT",Tajikistan,English,N/A,41565,"Works, Infrastructure","Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P079027,"Contract Award",Published,N/A,41254
1464,41613,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41613,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1465,41625,"BUKHARA & SAMARKAND SEWERAGE PROJECT",Uzbekistan,English,N/A,41625,"Design Services","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P112719,"Contract Award",Published,N/A,40478
1466,41645,"MUNICIPAL INFRASTRUCTURE DEVELOPMENT",Tajikistan,English,N/A,41645,"Works, Infrastructure","Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P079027,"Contract Award",Published,N/A,41254
1467,41645,"MUNICIPAL INFRASTRUCTURE DEVELOPMENT",Tajikistan,English,N/A,41645,"Works, Infrastructure","Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P079027,"Contract Award",Published,N/A,41254
1468,41187,"KE-Coastal CD SIL (FY08)",Kenya,English,N/A,41187,"Equipment Information Technology","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P094692,"Contract Award",Published,N/A,41260
1469,41187,"KE-Coastal CD SIL (FY08)",Kenya,English,N/A,41187,"Equipment Information Technology","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P094692,"Contract Award",Published,N/A,41260
1470,41187,"KE-Coastal CD SIL (FY08)",Kenya,English,N/A,41187,"Equipment Information Technology","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P094692,"Contract Award",Published,N/A,41260
1471,40715,"GM:Growth & Competitiveness","Gambia, The",English,N/A,40715,"Equipment Information Technology","Agriculture, fishing, and forestry; Finance; Public Administration, Law, and Justice; Industry and trade","Small Contracts Award (DIR, CQS, SSS)",P114240,"Contract Award",Published,N/A,40541
1472,40715,"GM:Growth & Competitiveness","Gambia, The",English,N/A,40715,"Equipment Information Technology","Agriculture, fishing, and forestry; Finance; Public Administration, Law, and Justice; Industry and trade","Consultant Award (QCBS, QBS, FCS, LCS)",P114240,"Contract Award",Published,N/A,40541
1473,40793,"HT Strength. Mgmt of Agr Pub Serv GFRP",Haiti,French,N/A,40793,"Financial Services","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P113623,"Contract Award",Published,N/A,40113
1474,40857,"GM:Growth & Competitiveness","Gambia, The",English,N/A,40857,"Equipment Information Technology","Agriculture, fishing, and forestry; Finance; Public Administration, Law, and Justice; Industry and trade","Small Contracts Award (DIR,CQS,INDV,SSS)",P114240,"Contract Award",Revised,N/A,40541
1475,40857,"GM:Growth & Competitiveness","Gambia, The",English,N/A,40857,"Equipment Information Technology","Agriculture, fishing, and forestry; Finance; Public Administration, Law, and Justice; Industry and trade","Consultant Award (QCBS, QBS, FCS, LCS)",P114240,"Contract Award",Published,N/A,40541
1476,40861,"GM:Growth & Competitiveness","Gambia, The",English,N/A,40861,"Equipment Information Technology","Agriculture, fishing, and forestry; Finance; Public Administration, Law, and Justice; Industry and trade","Small Contracts Award (DIR,CQS,INDV,SSS)",P114240,"Contract Award",Revised,N/A,40541
1477,41156,"PUBLIC SECTOR MOD",Kosovo,English,N/A,41156,"Management /Technical Advice","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P101614,"Contract Award",Published,N/A,40695
1478,41397,"PUBLIC SECTOR MOD",Kosovo,English,N/A,41397,"Management /Technical Advice","Public Administration, Law, and Justice","ICB Award",P101614,"Contract Award",Published,N/A,40695
1479,41443,"PUBLIC SECTOR MOD",Kosovo,English,N/A,41443,"Management /Technical Advice","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P101614,"Contract Award",Published,N/A,40695
1480,40638,"3A-Niger Basin Water Resources",Africa,English,N/A,40638,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","ICB Award",P093806,"Contract Award",Published,N/A,40086
1481,40638,"3A-Niger Basin Water Resources",Africa,English,N/A,40638,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","ICB Award",P093806,"Contract Award",Published,N/A,40086
1482,40838,"3A-Niger Basin Water Resources",Africa,French,N/A,40838,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P093806,"Contract Award",Published,N/A,40086
1483,40863,"3A-Niger Basin Water Resources",Africa,French,N/A,40863,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P093806,"Contract Award",Published,N/A,40086
1484,40863,"3A-Niger Basin Water Resources",Africa,French,N/A,40863,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P093806,"Contract Award",Published,N/A,40086
1485,40863,"3A-Niger Basin Water Resources",Africa,French,N/A,40863,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P093806,"Contract Award",Published,N/A,40086
1486,41054,"3A-Niger Basin Water Resources",Africa,English,N/A,41054,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Small Contracts Award (DIR,CQS,INDV,SSS)",P093806,"Contract Award",Published,N/A,40086
1487,41059,"3A-Niger Basin Water Resources",Africa,French,N/A,41059,"Equipment, Energy Exploration, Production","Agriculture, fishing, and forestry; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Water, sanitation and flood protection; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P093806,"Contract Award",Published,N/A,40086
1488,41011,"PE Water Resources Mgmt.",Peru,Spanish,N/A,41011,"Management /Technical Advice","Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P107666,"Contract Award",Revised,N/A,40724
1489,41164,"Rwanda Land, husbandry water harvesting",Rwanda,English,N/A,41164,"Training Services","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry; Industry and trade; Agriculture, fishing, and forestry","Consultant Award (QCBS, QBS, FCS, LCS)",P124785,"Contract Award",Published,N/A,40518
1490,41235,"PE Water Resources Mgmt.",Peru,Spanish,N/A,41235,"Management /Technical Advice","Public Administration, Law, and Justice","ICB Award",P107666,"Contract Award",Published,N/A,40724
1491,41306,"PE Water Resources Mgmt.",Peru,Spanish,N/A,41306,"Management /Technical Advice","Public Administration, Law, and Justice","ICB Award",P107666,"Contract Award",Published,N/A,40724
1492,41306,"PE Water Resources Mgmt.",Peru,Spanish,N/A,41306,"Management /Technical Advice","Public Administration, Law, and Justice","ICB Award",P107666,"Contract Award",Published,N/A,40724
1493,41306,"PE Water Resources Mgmt.",Peru,Spanish,N/A,41306,"Management /Technical Advice","Public Administration, Law, and Justice","ICB Award",P107666,"Contract Award",Published,N/A,40724
1494,41352,"Rwanda Land, husbandry water harvesting",Rwanda,English,N/A,41352,"Training Services","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P124785,"Contract Award",Published,N/A,40518
1495,41352,"Rwanda Land, husbandry water harvesting",Rwanda,English,N/A,41352,"Training Services","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Agriculture, fishing, and forestry; Industry and trade; Agriculture, fishing, and forestry","Consultant Award (QCBS, QBS, FCS, LCS)",P124785,"Contract Award",Published,N/A,40518
1496,41512,"CN-Hubei Xiangyang Urban Transport",China,English,N/A,41512,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","ICB Award",P119071,"Contract Award",Published,N/A,41150
1497,41570,"CN-Hubei Xiangyang Urban Transport",China,English,N/A,41570,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P119071,"Contract Award",Published,N/A,41150
1498,41570,"CN-Hubei Xiangyang Urban Transport",China,English,N/A,41570,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P119071,"Contract Award",Published,N/A,41150
1499,41625,"CN-Hubei Xiangyang Urban Transport",China,English,N/A,41625,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P119071,"Contract Award",Published,N/A,41150
1500,41113," SN-SecondSust. & Part. En. Mngt (SIL)",Senegal,French,N/A,41113,"Equipment, Transportation","Public Administration, Law, and Justice; Energy and mining; Energy and mining; Agriculture, fishing, and forestry; Public Administration, Law, and Justice","ICB Award",P120629,"Contract Award",Published,N/A,41149
